EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	00:28:20	0	0.1000	2.889457087266189	2.148991823196411		0.8245
2	00:31:57	0	0.1000	2.7916823654683056	2.3662774562835693		0.8263
3	00:35:33	0	0.1000	2.706433556505171	2.024667739868164		0.8416
4	00:39:09	0	0.1000	2.8071189796721643	1.9427852630615234		0.8645
5	00:42:45	0	0.1000	2.6015304737316955	1.9931565523147583		0.8693
6	00:46:20	0	0.1000	2.526972833339767	1.783405065536499		0.8753
7	00:49:58	1	0.1000	2.6097599781503686	1.9453085660934448		0.8737
8	00:53:33	0	0.1000	2.612158896038922	1.8661203384399414		0.8757
9	00:57:11	0	0.1000	2.6472955004185947	1.9720699787139893		0.8837
10	01:00:47	1	0.1000	2.596881760481461	1.8316453695297241		0.873
11	01:04:23	2	0.1000	2.5265287155579146	1.8944194316864014		0.8755
12	01:07:58	3	0.1000	2.634839526818118	1.781136393547058		0.8775
13	01:11:34	0	0.1000	2.58165815748346	1.754904866218567		0.8871
14	01:15:11	1	0.1000	2.5663086695198127	2.001688241958618		0.8597
15	01:18:47	0	0.1000	2.5615830555569232	1.6993318796157837		0.8897
16	01:22:26	1	0.1000	2.5796822011250202	1.772623896598816		0.8856
17	01:26:02	2	0.1000	2.6065095451299922	1.857041835784912		0.8687
18	01:29:38	3	0.1000	2.51304873888092	1.9627348184585571		0.8753
19	01:33:13	4	0.1000	2.533656883336808	1.9047127962112427		0.8808
20	01:36:50	1	0.0500	2.191476271648393	1.6183977127075195		0.8875
21	01:40:27	2	0.0500	2.190866547103814	1.7139643430709839		0.8852
22	01:44:03	0	0.0500	2.208597722140001	1.6395357847213745		0.8912
23	01:47:40	1	0.0500	2.216042106236289	1.69027841091156		0.8879
24	01:51:16	0	0.0500	2.242382116268336	1.6275423765182495		0.8962
25	01:54:52	0	0.0500	2.200888055682094	1.573792815208435		0.8963
26	01:58:28	0	0.0500	2.191055245614775	1.6016050577163696		0.8964
27	02:02:05	1	0.0500	2.1834247027565867	1.6136630773544312		0.8935
28	02:05:41	2	0.0500	2.1997923213494963	1.6471941471099854		0.8805
29	02:09:17	3	0.0500	2.232694624530925	1.8248521089553833		0.8879
30	02:12:53	4	0.0500	2.244052729370151	1.657947301864624		0.8926
31	02:16:29	1	0.0250	2.0421461002373147	1.5816885232925415		0.8914
32	02:20:06	2	0.0250	2.0220848223529506	1.523960828781128		0.8963
33	02:23:41	3	0.0250	2.0340846622546103	1.5905427932739258		0.8896
