	Transliteration	Normalized
129	A-da-lal3-bi	Adalalbi[]PN
130	A-da-lal3-ta	Adalal[]PN
131	A-da-ni-ta	Adani[]PN
132	A-da-ti-ta	Adati[]PN
133	A-da-tum	Adatum[]PN
134	A-dam-DUN	A.dam.DUN[]PN
135	A-dam-DUN{ki}	A.dam.DUN{ki}[]SN
136	A-dam-DUN{ki}-ce3	A.dam.DUN{ki}[]SN
137	A-dam-DUN{ki}-ke4	A.dam.DUN{ki}[]SN
138	A-dam-DUN{ki}-ta	A.dam.DUN{ki}[]SN
139	A-ga-a	Agaa[]PN
140	A-ga-de3{ki}	Agade[]SN
141	A-ga-lum	Agalum[]PN
142	A-ga-tum	Agatum[]PN
143	A-gaz{ki}	Agaz[]SN
144	A-ge	Age[]PN
145	A-gi-pu-um	Agipum[]PN
146	A-gu	Agu[]PN
147	A-gu-a	Aguʾa[]PN
148	A-gu-a-li2	Aguʾali[]PN
149	A-gu-a-ni	Aguʾani[]PN
150	A-gu-a-si2-im-ti	Aguʾasimti[]PN
151	A-gu-a-ta	Aguʾa[]PN
152	A-gu-da	Aguda[]PN
153	A-gu-du	Agudu[]PN
154	A-gu-gu-ta	Agugu[]PN
155	A-gu-nu-um	Agunum[]PN
156	A-gu3	Agu[]PN
157	A-gub-ba	Aguba[]PN
158	A-ha-am-wa-qar	Ahamwaqar[]PN
159	A-ha-an-ci-bu	Ahanšibu[]PN
160	A-ha-an-ci-pu	Ahanšipu[]PN
161	A-ha-an-ci2-bu	Ahanšibu[]PN
162	A-ha-an-ni-cu	Ahanišu[]PN
163	A-ha-an-ni-cu-ta	Ahanišu[]PN
164	A-ha-an-si-pu	Ahansipu[]PN
165	A-ha-an-ti-bu	Ahantibu[]PN
166	A-ha-ci-pu	Ahašipu[]PN
167	A-ha-cu	Ahašu[]PN
168	A-ha-cu-um	Ahašum[]PN
169	A-ha-ma-ti	Ahamati[]PN
170	A-ha-ni-cu	Ahanišu[]PN
171	A-ha-ni-cu-ta	Ahanišu[]PN
172	A-ha-ni-zu	Ahanizu[]PN
173	A-ha-tum	Ahatum[]PN
174	A-hi-DINGIR	A.hi.DINGIR[]PN
175	A-hi-DINGIR-ta	A.hi.DINGIR[]PN
176	A-hi-ma	Ahima[]PN
177	A-hi-ma-ra	Ahimara[]PN
178	A-hi-ma-ta	Ahima[]PN
179	A-hu-DU10	A.hu.DU₁₀[]PN
180	A-hu-DU10-ce3	A.hu.DU₁₀[]PN
181	A-hu-DU10-ta	A.hu.DU₁₀[]PN
182	A-hu-We-er	A.hu.We.er[]PN
183	A-hu-We-er--ta	A.hu.We.er.[]PN
184	A-hu-We-er-ce3	A.hu.We.er[]PN
185	A-hu-We-er-ta	A.hu.We.er[]PN
186	A-hu-a	Ahuʾa[]PN
187	A-hu-a-hi	Ahuʾahi[]PN
188	A-hu-a-ni	Ahuʾani[]PN
189	A-hu-a-ta	Ahuʾa[]PN
190	A-hu-a-ti	Ahuʾati[]PN
191	A-hu-ba-qar	Ahubaqar[]PN
192	A-hu-cu-ni	Ahušuni[]PN
193	A-hu-cu-ni-ZE2	A.hu.šu.ni.ZE₂[]PN
194	A-hu-cu-ni-ta	Ahušuni[]PN
195	A-hu-ki-in	Ahukin[]PN
196	A-hu-ma	Ahuma[]PN
197	A-hu-ni	Ahuni[]PN
198	A-hu-ni-cu	Ahunišu[]PN
199	A-hu-ni-im	Ahunim[]PN
200	A-hu-ni-ta	Ahuni[]PN
201	A-hu-ti{ki}	Ahuti[]SN
202	A-hu-um	Ahum[]PN
203	A-hu-um-BA	A.hu.um.BA[]PN
204	A-hu-um-DINGIR	A.hu.um.DINGIR[]PN
205	A-hu-um-ba-ni	Ahumbani[]PN
206	A-hu-um-ma	Ahuma[]PN
207	A-hu-wa-qar	Ahuwaqar[]PN
208	A-hu-wa-qar-ta	Ahuwaqar[]PN
209	A-hu-we-er	Ahuwer[]PN
210	A-hu-we-er-ta	Ahuwer[]PN
211	A-i3-li2-su	Ailisu[]PN
212	A-kal-la	Akala[]PN
213	A-kal-la-ta	Akala[]PN
214	A-ki-a	Akiʾa[]PN
215	A-kiri3-zal	Akirizal[]PN
216	A-ku-a	Akuʾa[]PN
217	A-la-la-a	Alalaa[]PN
218	A-la-la2	Alala[]PN
219	A-la-mu	Alaŋu[]PN
220	A-la-mu-ta	Alaŋu[]PN
221	A-la-ru-um	Alarum[]PN
222	A-la-sum	Alasum[]PN
223	A-la-zum	Alazum[]PN
224	A-lal3-la-lum	Alalalum[]PN
225	A-li	Ali[]PN
226	A-li-ah	Aliʾah[]PN
227	A-li2-DU10	A.li₂.DU₁₀[]PN
228	A-li2-ah	Aliʾah[]PN
229	A-li2-li2	Alili[]PN
230	A-li2-ni-cu	Alinišu[]PN
231	A-lu-tya-bum2	Aluṭabum[]PN
232	A-lu-um{ki}	Alum[]SN
233	A-ma-ad	Amad[]PN
234	A-ma-an-ne-en	Amanen[]PN
235	A-ma-an-ne-en6	Amanen[]PN
236	A-ma-la	Amala[]PN
237	A-ma-ne-en-CA	A.ma.ne.en.ŠA[]PN
238	A-ma-si2-li	Amasili[]PN
239	A-mac-ti-ak	Amaštiʾak[]PN
240	A-mi-ir-AN	A.mi.ir.AN[]PN
241	A-mi-ir-{d}Cul-gi	AmirŠulgi[]PN
242	A-mu-a	Amuʾa[]PN
243	A-mu-er2-LU-numun	A.mu.er₂.LU.numun[]PN
244	A-mur-An-num2	A.mur.An.num₂[]PN
245	A-mur-DINGIR	A.mur.DINGIR[]PN
246	A-mur-DINGIR-ta	A.mur.DINGIR[]PN
247	A-mur-E2-a	AmurEa[]PN
248	A-mur-E2-a-ta	AmurEa[]PN
249	A-mur-da-ku-um	Amurdakum[]PN
250	A-mur-{d}Cul-gi	AmurŠulgi[]PN
251	A-mur-{d}Suen	AmurSuʾen[]PN
252	A-mur-{d}UTU	A.mur.{d}UTU[]PN
253	A-na-a	Anaa[]PN
254	A-na-a-MU	A.na.a.MU[]PN
255	A-na-ab-E2-a	AnabEa[]PN
256	A-na-ah-i3-li2	Anahili[]PN
257	A-na-at-E2-a	AnatEa[]PN
258	A-na-ha	Anaha[]PN
259	A-na-lu2	Analu[]PN
260	A-na-na	Anana[]PN
261	A-na-ni-ak	Ananiʾak[]PN
262	A-na-nu-um-DINGIR	A.na.nu.um.DINGIR[]PN
263	A-na-ti	Anati[]PN
264	A-na-ti-ta	Anati[]PN
265	A-na-tum	Anatum[]PN
266	A-ni-a	Aniʾa[]PN
267	A-ni2-ti-dam	Anitidam[]PN
268	A-nu-il	Anuʾil[]PN
269	A-num2-me-il-lum	Anumeʾilum[]PN
270	A-pi-la-ca	Apilaša[]PN
271	A-pi-la-ca-am	Apilašam[]PN
272	A-pi-la-nu-um	Apilanum[]PN
273	A-pi-te-el2	Apitel[]PN
274	A-pi2-ak{ki}	Apiʾak[]SN
275	A-pi2-ak{ki}-ka	Apiʾakka[]SN
276	A-pi2-ak{ki}-ta	Apiʾak[]SN
277	A-pi5-ak{ki}	Apiʾak[]SN
278	A-pi5-la-ca	Apilaša[]PN
279	A-pi5-la-ta	Apila[]PN
280	A-pi5-la-ti	Apilati[]PN
281	A-pi5-la-tum	Apilatum[]PN
282	A-pi5-li2	Apili[]PN
283	A-pi5-li2-a	Apiliʾa[]PN
284	A-pil2-sa-um	Apilsaʾum[]PN
285	A-pu-nu-um	Apunum[]PN
286	A-ra-ap-hu-um{ki}	Araphum[]SN
287	A-ra-mi{ki}	Arami[]SN
288	A-ra-zu-{d}I-bi2-{d}Suen-ka-ce3-pa3-da	ArazuIbiSuʾenkašepada[]PN
289	A-ra-zu-{d}I-bi2-{d}Suen-na-pa3-da	ArazuIbiSuʾenapada[]PN
290	A-ra2-mu	Araŋu[]PN
291	A-ri-du-bu-uk	Aridubuk[]PN
292	A-ri-ip-a-tal	Aripatal[]PN
293	A-ri-ip-hu-up-pi2	Ariphupi[]PN
294	A-ri2-bi	Aribi[]PN
295	A-ri2-bi-um{ki}	Aribiʾum[]SN
296	A-ri2-ip-a-tal	Aripatal[]PN
297	A-ri2-ip-hu-up-pi2	Ariphupi[]PN
298	A-sya-ru-um-a-ur2-ra{ki}	Aṣarumaʾura[]SN
299	A-sya-ru-um-a-ur2-ra{ki}-ka	Aṣarumaʾuraka[]SN
300	A-sya-ru-um-da-gi	Aṣarumdagi[]PN
301	A-ta-a	Ataa[]PN
302	A-ta2-ce-en-ta	Atašen[]PN
303	A-ta2-kal2-cum	Atakalšum[]PN
304	A-ta2-kal2-cum-e	Atakalšume[]PN
305	A-ta2-na-ah	Atanah[]PN
306	A-tal-me-me	Atalmeme[]PN
307	A-tal2-{d}Mar-tu-ra	AtalMartura[]PN
308	A-tar-da	Atarda[]PN
309	A-ti	Ati[]PN
310	A-ti-a-ta	Atiʾa[]PN
311	A-ti-da	Atida[]PN
312	A-ti-da-ka	Atidaka[]PN
313	A-ti-da-ta	Atida[]PN
314	A-ti-ma-tum	Atimatum[]PN
315	A-tu	Atu[]PN
316	A-tu-Ma-ma	A.tu.Ma.ma[]PN
317	A-tu-Uri5{ki}-ce3	A.tu.Urim₅{ki}[]SN
318	A-tu-banda3{da}	Atubanda[]PN
319	A-tu-du	Atudu[]PN
320	A-tu-kal-la	Atukala[]PN
321	A-tu-ki	Atuki[]PN
322	A-tu-su-si-ig	Atususig[]PN
323	A-tu-ta	Atu[]PN
324	A-u3-da-il	Audaʾil[]PN
325	A-wa-ar-ka	Awarka[]PN
326	A-wa-at-i3-li2	Awatili[]PN
327	A-wa-nu-um	Awanum[]PN
328	A-za	Aza[]PN
329	A-za-ak-za-kum	Azakzakum[]PN
330	A-za-ba-an	Azaban[]PN
331	A-za-lum	Azalum[]PN
332	A-za-ma-an{ki}	Azaman[]SN
333	A-zi-zi	Azizi[]PN
334	A.AB.BA-ba-ac-ti	A.AB.BA.ba.aš.ti[]PN
335	A.AB.BA-ba-ac-ti-ce3	A.AB.BA.ba.aš.ti[]PN
336	A.AB.BA-ba-ac2-ti-e	A.AB.BA.ba.aš₂.ti.e[]PN
337	A.AB.BA-ba-ac2-ti-ra	A.AB.BA.ba.aš₂.ti.ra[]PN
338	A.HA{ki}	A.HA{ki}[]SN
339	A.HA{ki}-ce3	A.HA{ki}[]SN
340	A.HA{ki}-ta	A.HA{ki}[]SN
341	A.MA-{d}Ec4-tar2-ra	A.MA.{d}Eš₄.tar₂.ra[]PN
342	A2-bi2-DINGIR	A₂.bi₂.DINGIR[]PN
343	A2-bi2-DU10	A₂.bi₂.DU₁₀[]PN
344	A2-bi2-a-bi-ih	Abiʾabih[]PN
345	A2-bi2-si2-im-ti	Abisimti[]PN
346	A2-bu-ru-ma	Aburuma[]PN
347	A2-bu-ru-um-ma	Aburuma[]PN
348	A2-da-lal3	Adalal[]PN
349	A2-dingir	Adiŋir[]PN
350	A2-dingir-ga2-ta	Adiŋirŋa[]PN
351	A2-ga-ga	Agaga[]PN
352	A2-kuc3-{d}Mar-tu	AkušMartu[]PN
353	A2-la-la	Alala[]PN
354	A2-la-la-ta	Alala[]PN
355	A2-li2-id	Alid[]PN
356	A2-li2-id-DU	A₂.li₂.id.DU[]PN
357	A2-na	Ana[]PN
358	A2-na-mu	Anaŋu[]PN
359	A2-na-na	Anana[]PN
360	A2-na-na-ta	Anana[]PN
361	A2-ne-ni	Aneni[]PN
362	A2-ni-a2	Aniʾa[]PN
363	A2-ni-a2-ta	Aniʾa[]PN
364	A2-ni-ni-ta	Anini[]PN
365	A2-nin-ga2-ta	Aninŋa[]PN
366	A2-nu-nu	Anunu[]PN
367	A2-pi-la-ca	Apilaša[]PN
368	A2-pi-lum-ma	Apiluma[]PN
369	A2-pi5-la	Apila[]PN
370	A2-pi5-la-a	Apilaa[]PN
371	A2-pi5-la-ca	Apilaša[]PN
372	A2-pi5-la-ca-ar	Apilašar[]PN
373	A2-pi5-la-ca-ce3	Apilaša[]PN
