	Transliteration	Normalized
20401	PI-{d}Šara2-še3	PI.{d}Šara₂[]PN
20402	PI-ša3-ba-kam	PI.ša₃.ba.kam[]PN
20403	PI-šu-hu-um	PI.šu.hu.um[]PN
20404	PI.LI.HA-ka-še3	PI.LI.HA.ka[]PN
20405	PI.LI.HA-ta	PI.LI.HA[]PN
20406	PI.šE	PI.šE[]PN
20407	PIRIG.TUR-gen7-du	PIRIG.TUR.gen₇.du[]PN
20408	PIRIG.TUR-gen7-du-ta	PIRIG.TUR.gen₇.du[]PN
20409	PIRIG.TUR-gen7-du-še3	PIRIG.TUR.gen₇.du[]PN
20410	PIRIG.TUR-gen7-ke4	PIRIG.TUR.gen₇[]PN
20411	PIRIG.TUR-tur-re	PIRIG.TUR.tur.re[]PN
20412	PISAN-dub	PISAN.dub[]PN
20413	PN's	PN's[]PN
20414	PN-e	PN.e[]PN
20415	PN-ra	PN.ra[]PN
20416	PN-ta	PN[]PN
20417	PN-še3	PN[]PN
20418	PNs	PNs[]PN
20419	PU-ka	PU.ka[]PN
20420	PU2-bi	PU₂.bi[]PN
20421	PU2-ta-ma-aš2	PU₂.ta.ma.aš₂[]PN
20422	PU2-šu-i-ne	PU₂.šu.i.ne[]PN
20423	PU2-šu-i-ne-ta	PU₂.šu.i.ne[]PN
20424	PU2.DA.UZ-ma	PU₂.DA.UZ.ma[]PN
20425	PU2.DA.UZ-ta	PU₂.DA.UZ[]PN
20426	PU2.DA.UZ-um	PU₂.DA.UZ.um[]PN
20427	PU3-KA-a	PU₃.KA.a[]PN
20428	PU3-KA-a-aš	PU₃.KA.a.aš[]PN
20429	PU3-KA-a-ka	PU₃.KA.a.ka[]PN
20430	PU3-KA-ba-na	PU₃.KA.ba.na[]PN
20431	PU3-KA-i3-li2	PU₃.KA.i₃.li₂[]PN
20432	PU3-KA-li2-a	PU₃.KA.li₂.a[]PN
20433	PU3-KA-na-a	PU₃.KA.na.a[]PN
20434	PU3-KA-na-a-a	PU₃.KA.na.aya[]PN
20435	PU3-KA-num2	PU₃.KA.num₂[]PN
20436	PU3-KA-ra	PU₃.KA.ra[]PN
20437	PU3-KA-ra-bi	PU₃.KA.ra.bi[]PN
20438	PU3-KA-re-a	PU₃.KA.re.a[]PN
20439	PU3-KA-u2	PU₃.KA.u₂[]PN
20440	PU3-KA-{d}Suen	PU₃.KA.{d}Suʾen[]PN
20441	PU3-KA-šuba3	PU₃.KA.šuba₃[]PN
20442	PU3-KA.NI-sa6	PU₃.KA.NI.sag₉[]PN
20443	PU3-PU3-KA-um	PU₃.PU₃.KA.um[]PN
20444	PU3-RU-ta	PU₃.RU[]PN
20445	PU3-ga-lum	PU₃.ga.lum[]PN
20446	PU3-gu-gu-še3	PU₃.gu.gu[]PN
20447	PU3-{d}Si4-u2-da	PU₃.{d}Si₄.u₂.da[]PN
20448	PU3.ŠA-ti	PU₃.ŠA.ti[]PN
20449	Pa-a-bi-še3	Pabi[]PN
20450	Pa-ad-du-a	Paduʾa[]PN
20451	Pa-at-na-šum	Patnašum[]PN
20452	Pa-da-{d}Šul-gi	PadaŠulgi[]PN
20453	Pa-har-tum	Pahartum[]PN
20454	Pa-la	Pala[]PN
20455	Pa-la-a	Palaa[]PN
20456	Pa-la-zu	Palazu[]PN
20457	Pa-li-lum	Palilum[]PN
20458	Pa-li2-lum	Palilum[]PN
20459	Pa-lu5-lu5	Palulu[]PN
20460	Pa-na-na	Panana[]PN
20461	Pa-ni-lum	Panilum[]PN
20462	Pa-ni-tum	Panitum[]PN
20463	Pa-pa-ša	Papaša[]PN
20464	Pa-u2-e	Paʾuʾe[]PN
20465	Pa-šim-e-ki-še3	Pašimeki[]PN
20466	Pa-šim-e-me	Pašimeme[]PN
20467	Pa-šim-e{ki}	Pašime[]SN
