,O,N,<e>,NE,V,NU,CNJ
O,0.1838565,0.23991032,0.45515695,0.038116593,0.020179372,0.058295965,0.004484305
N,0.016939892,0.3237705,0.22814208,0.2021858,0.09016393,0.13811475,0.0006830601
<e>,0.037598945,0.52066845,0.0,0.116754614,0.031002639,0.28913808,0.0046174144
NE,0.0082038,0.16105354,0.6835061,0.029792747,0.107944734,0.0012953368,0.0082038
V,0.0117944395,0.12384162,0.6950295,0.05728728,0.02780118,0.083403535,0.00084245997
NU,0.010971281,0.6234269,0.08615682,0.041949015,0.029686997,0.20780897,0.0
CNJ,0.041666668,0.47916666,0.0,0.4375,0.041666668,0.0,0.0
