EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
1	13:16:36	0	0.1000	14.50415592913624	6.942070484161377		0.5791
2	13:20:09	1	0.1000	10.27249856351659	6.733948707580566		0.4709
3	13:23:43	0	0.1000	10.14150542210509	7.265752792358398		0.6089
4	13:27:19	0	0.1000	11.255481567848708	6.148329257965088		0.6563
5	13:30:55	1	0.1000	12.508356541196653	7.263321399688721		0.6475
6	13:34:30	2	0.1000	11.99148194706943	6.756869792938232		0.6527
7	13:38:06	3	0.1000	13.308181493040546	8.13747787475586		0.6539
8	13:41:41	4	0.1000	13.38091434680648	8.473502159118652		0.6502
9	13:45:16	0	0.0500	7.908536838832209	4.104878902435303		0.6697
10	13:48:52	1	0.0500	7.251224427290266	4.492222309112549		0.6416
11	13:52:28	0	0.0500	7.102228264558059	4.005357265472412		0.6812
12	13:56:04	1	0.0500	7.042859130396303	4.073207855224609		0.6197
13	13:59:39	2	0.0500	6.719399353206643	4.228088855743408		0.6268
14	14:03:17	3	0.0500	6.5743643483967364	3.7659225463867188		0.6745
15	14:06:52	4	0.0500	6.5161165585789655	3.716017723083496		0.6811
16	14:10:27	0	0.0250	4.825007648489195	3.076106309890747		0.7104
17	14:14:02	0	0.0250	4.683945526642591	2.92648983001709		0.7272
18	14:17:38	1	0.0250	4.661367519443605	3.1631417274475098		0.7165
19	14:21:13	2	0.0250	4.7140893592029744	3.051872968673706		0.7127
20	14:24:47	3	0.0250	4.636179849009086	3.055166482925415		0.7085
21	14:28:22	4	0.0250	4.684150231581631	2.9488065242767334		0.715
22	14:31:56	0	0.0125	3.997287506972482	2.6366848945617676		0.7456
23	14:35:32	1	0.0125	3.9436158523305447	2.6554272174835205		0.7411
24	14:39:07	0	0.0125	3.9478683132846473	2.5778720378875732		0.7504
25	14:42:43	0	0.0125	3.9406694509998945	2.656224012374878		0.7545
26	14:46:20	1	0.0125	3.9254018069195977	2.7269487380981445		0.7385
27	14:49:54	0	0.0125	3.9214089423263627	2.6516366004943848		0.7556
28	14:53:30	1	0.0125	3.900138965718928	2.647080659866333		0.748
29	14:57:05	2	0.0125	3.8815148388518836	2.5829930305480957		0.7497
30	15:00:40	3	0.0125	3.869846026338003	2.63931941986084		0.7507
