| end of split   1 /  1 | epoch  11 | time: 516.00s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time: 516.06s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time: 518.44s | valid loss  0.68 | valid ppl     1.98 | learning rate 20.0000
| end of split   1 /  1 | epoch  14 | time: 520.45s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  15 | time: 522.52s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  16 | time: 518.91s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  17 | time: 517.10s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  18 | time: 516.48s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  19 | time: 518.79s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  20 | time: 517.50s | valid loss  0.68 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  21 | time: 521.24s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  22 | time: 531.58s | valid loss  0.68 | valid ppl     1.97 | learning rate 20.0000
| end of split   1 /  1 | epoch  23 | time: 518.56s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  24 | time: 517.17s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  25 | time: 515.49s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  26 | time: 515.67s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  27 | time: 517.27s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
| end of split   1 /  1 | epoch  28 | time: 519.67s | valid loss  0.67 | valid ppl     1.96 | learning rate 20.0000
